"datetime","ozone","time"
"20130501T0000-800",0.044,1
"20130501T0100-800",0.044,2
"20130501T0200-800",0.042,3
"20130501T0300-800",0.039,4
"20130501T0400-800",NA,5
"20130501T0500-800",0.032,6
"20130501T0600-800",0.029,7
"20130501T0700-800",0.028,8
"20130501T0800-800",0.026,9
"20130501T0900-800",0.035,10
"20130501T1000-800",0.042,11
"20130501T1100-800",0.046,12
"20130501T1200-800",0.047,13
"20130501T1300-800",0.047,14
"20130501T1400-800",0.047,15
"20130501T1500-800",0.049,16
"20130501T1600-800",0.049,17
"20130501T1700-800",0.047,18
"20130501T1800-800",0.045,19
"20130501T1900-800",0.042,20
"20130501T2000-800",0.039,21
"20130501T2100-800",0.038,22
"20130501T2200-800",0.038,23
"20130501T2300-800",0.031,24
"20130502T0000-800",0.007,25
"20130502T0100-800",0.002,26
"20130502T0200-800",0.002,27
"20130502T0300-800",0.002,28
"20130502T0400-800",NA,29
"20130502T0500-800",0.002,30
"20130502T0600-800",0.002,31
"20130502T0700-800",0.011,32
"20130502T0800-800",0.021,33
"20130502T0900-800",0.037,34
"20130502T1000-800",0.049,35
"20130502T1100-800",0.055,36
"20130502T1200-800",0.061,37
"20130502T1300-800",0.068,38
"20130502T1400-800",0.067,39
"20130502T1500-800",0.06,40
"20130502T1600-800",0.053,41
"20130502T1700-800",0.049,42
"20130502T1800-800",0.024,43
"20130502T1900-800",0.019,44
"20130502T2000-800",0.007,45
"20130502T2100-800",0.002,46
"20130502T2200-800",0.002,47
"20130502T2300-800",0.002,48
"20130503T0000-800",0.005,49
"20130503T0100-800",0.012,50
"20130503T0200-800",0.017,51
"20130503T0300-800",0.017,52
"20130503T0400-800",NA,53
"20130503T0500-800",NA,54
"20130503T0600-800",0.007,55
"20130503T0700-800",0.011,56
"20130503T0800-800",0.022,57
"20130503T0900-800",0.038,58
"20130503T1000-800",0.051,59
"20130503T1100-800",0.069,60
"20130503T1200-800",0.065,61
"20130503T1300-800",0.074,62
"20130503T1400-800",0.083,63
"20130503T1500-800",0.088,64
"20130503T1600-800",0.088,65
"20130503T1700-800",0.079,66
"20130503T1800-800",0.059,67
"20130503T1900-800",0.042,68
"20130503T2000-800",0.033,69
"20130503T2100-800",0.043,70
"20130503T2200-800",0.053,71
"20130503T2300-800",0.044,72
"20130504T0000-800",0.035,73
"20130504T0100-800",0.005,74
"20130504T0200-800",0.002,75
"20130504T0300-800",NA,76
"20130504T0400-800",NA,77
"20130504T0500-800",0.036,78
"20130504T0600-800",0.044,79
"20130504T0700-800",0.044,80
"20130504T0800-800",0.049,81
"20130504T0900-800",0.059,82
"20130504T1000-800",0.063,83
"20130504T1100-800",0.062,84
"20130504T1200-800",0.062,85
"20130504T1300-800",0.059,86
"20130504T1400-800",0.057,87
"20130504T1500-800",0.053,88
"20130504T1600-800",0.051,89
"20130504T1700-800",0.049,90
"20130504T1800-800",0.048,91
"20130504T1900-800",0.049,92
"20130504T2000-800",0.05,93
"20130504T2100-800",0.05,94
"20130504T2200-800",0.049,95
"20130504T2300-800",0.048,96
"20130505T0000-800",0.049,97
"20130505T0100-800",0.05,98
"20130505T0200-800",0.05,99
"20130505T0300-800",NA,100
"20130505T0400-800",NA,101
"20130505T0500-800",0.045,102
"20130505T0600-800",0.043,103
"20130505T0700-800",0.044,104
"20130505T0800-800",0.048,105
"20130505T0900-800",0.05,106
"20130505T1000-800",0.051,107
"20130505T1100-800",0.052,108
"20130505T1200-800",0.049,109
"20130505T1300-800",0.047,110
"20130505T1400-800",0.048,111
"20130505T1500-800",0.048,112
"20130505T1600-800",0.048,113
"20130505T1700-800",0.047,114
"20130505T1800-800",0.045,115
"20130505T1900-800",0.041,116
"20130505T2000-800",0.043,117
"20130505T2100-800",0.043,118
"20130505T2200-800",0.042,119
"20130505T2300-800",0.042,120
"20130506T0000-800",0.038,121
"20130506T0100-800",0.039,122
"20130506T0200-800",0.038,123
"20130506T0300-800",NA,124
"20130506T0400-800",NA,125
"20130506T0500-800",0.028,126
"20130506T0600-800",0.023,127
"20130506T0700-800",0.017,128
"20130506T0800-800",0.033,129
"20130506T0900-800",0.034,130
"20130506T1000-800",0.036,131
"20130506T1100-800",0.038,132
"20130506T1200-800",0.038,133
"20130506T1300-800",0.038,134
"20130506T1400-800",0.038,135
"20130506T1500-800",0.039,136
"20130506T1600-800",0.04,137
"20130506T1700-800",0.037,138
"20130506T1800-800",0.035,139
"20130506T1900-800",0.035,140
"20130506T2000-800",0.035,141
"20130506T2100-800",0.035,142
"20130506T2200-800",0.034,143
"20130506T2300-800",0.026,144
"20130507T0000-800",0.024,145
"20130507T0100-800",0.018,146
"20130507T0200-800",0.013,147
"20130507T0300-800",NA,148
"20130507T0400-800",NA,149
"20130507T0500-800",0.008,150
"20130507T0600-800",0.01,151
"20130507T0700-800",0.023,152
"20130507T0800-800",0.035,153
"20130507T0900-800",0.043,154
"20130507T1000-800",0.045,155
"20130507T1100-800",0.047,156
"20130507T1200-800",0.045,157
"20130507T1300-800",0.042,158
"20130507T1400-800",0.042,159
"20130507T1500-800",0.039,160
"20130507T1600-800",0.041,161
"20130507T1700-800",0.04,162
"20130507T1800-800",0.04,163
"20130507T1900-800",0.041,164
"20130507T2000-800",0.036,165
"20130507T2100-800",0.034,166
"20130507T2200-800",0.027,167
