"site","east","north","AMEAN66","AMEAN67","AMEAN68","AMEAN69","AMEAN70","AMEAN71","AMEAN72","AMEAN73","AMEAN74","AMEAN75","AMEAN76","AMEAN77","AMEAN78","AMEAN79","AMEAN80","AMEAN81","AMEAN82","AMEAN83","AMEAN84","AMEAN85","AMEAN86","AMEAN87","AMEAN88","AMEAN89","AMEAN90","AMEAN91","AMEAN92","AMEAN93","AMEAN94","AMEAN95","AMEAN96"
"ADDLESTONE 1",505200,164600,92,103,68,47,47,45,52,41,36,31,33,24,20,17,11,15,9,8,15,12,10,13,7,9,11,6,NA,NA,NA,NA,NA
"BARNSLEY 8",434800,409400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,6,11,6,6,5
"BARNSLEY 9",437000,405500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,18,19,19,12,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOLTON 24",371500,409200,132,108,75,77,78,74,149,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRADFORD 6",416300,432900,202,151,122,110,90,118,172,191,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARDIFF 12",319300,177300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,19,12,10,11,16,19,18,14,11,9,11,12,12,9,11,9,19,11
"CHESTERFIELD 18",437200,370900,NA,NA,NA,NA,NA,138,107,72,93,64,66,68,84,79,50,65,54,44,28,36,32,44,37,35,34,30,14,11,12,15,14
"COATBRIDGE 5",271200,663800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,17,18,23,25,28,22,25,20,19,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CREWE 9",370300,355000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,15,19,18,14,14,11,15,11
"DIDCOT 1",449300,180800,38,38,41,40,32,34,63,62,31,36,32,23,14,14,13,14,10,6,7,7,7,6,22,11,10,11,9,8,8,10,9
"ELLAND 2",410900,420900,147,157,163,101,133,121,125,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ENFIELD 14",533800,195800,134,126,115,90,119,115,111,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FARNWORTH 8",373900,406100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,38,34,50,33,19,30,21,21,16,17,16
"GLASGOW 51",253300,664100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,41,27,35,34,34,24,31,28,25,30,21,21,NA,NA,NA,NA,NA,NA
"HARTLEPOOL 12",450500,532600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,35,26,34,25,27,18,20,21,17,17,NA,NA,NA,NA,NA,NA,NA,NA
"HORWICH 1",363700,411800,56,54,108,60,44,45,53,48,39,27,41,25,16,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAMBETH 7",530400,175800,NA,NA,NA,NA,NA,NA,NA,NA,26,18,68,35,23,22,18,11,9,17,15,15,19,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LEIGH 4",366200,399900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,21,20,27,17,24,17,22,21,20,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LINCOLN 5",497400,371400,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,9,9,10,10,10,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LIVERPOOL 16",334500,390800,162,109,76,67,44,62,80,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
