"Location","Elev","Lat","Long","OLat","OLong","MaxTemp"
"SAN_FRANCISCO",45.7,37.7705,-122.4269,37.768889,-122.515556,139
"NAPA",4.3,38.2102,-122.2847,38.392222,-123.089167,161
"SAN_DIEGO",4.6,32.7336,-117.1831,32.722222,-117.268333,167
"FRESNO",100,36.7525,-119.7017,36.258333,-121.838889,167
"SANTA_CRUZ",39.6,36.9905,-121.911,36.955278,-122.093333,183
"DEATH_VALLEY",-59.1,36.4622,-116.8669,35.4175,-120.836944,339
"OJAI",233.2,34.4483,-119.2303,34.350278,-119.423056,194
"BARSTOW",676.7,34.8927,-117.0219,34.270278,-119.346667,244
"LOS_ANGELES",29.6,33.938,-118.3888,34.138889,-118.984722,200
"CEDAR_GROVE",1438.7,36.7878,-118.6561,36.399444,-121.864722,222
"REDDING",151.5,40.5175,-122.2986,40.466389,-124.408333,161
"EUREKA",6.1,40.8097,-124.1602,40.800895,-124.207465,111
"OXNARD",15.8,34.2066,-119.1375,34.192584,-119.24777,206
"PASO_ROBLES",222.5,35.6277,-120.6855,35.520065,-121.053611,167
"SAN_JOSE",15.5,37.3591,-121.924,37.38194,-122.420374,156
"SACRAMENTO",11.6,38.5555,-121.4169,38.42442,-123.080462,178
"MENDOCINO_PASS",1652,39.8075,-122.945,40.259347,-124.371074,0
