amean_y1,amean_y2,amean_y3,amean_y4,amean_y5,amean_y6,amean_y7,amean_y8,amean_y9,amean_y10,amean_y11,amean_y12,amean_y13,amean_y14,amean_y15,amean_y16,k0,k1,k2,k3,ward91,cquint,region91,lungc3064,cpm3064,allmort3064,lungc65pls,cpm65pls,allmort65pls,pop3064,pop65pls,exp_lungc3064,exp_cpm_3064,exp_all_3064,exp_lungc65pls,exp_cpm_65pls,exp_all_65pls,RR_lungc3064,RR_cpm3064,RR_allmort3064,RR_lungc65pls,RR_cpm65pls,RR_allmort65pls,cscore                                                                                                                                                                    
49,31,26,40,34,54,39,30,14,,20,17,16,14,12,14,37,39,17,14,01ABFQ,4,5,4,38,73,29,170,300,4771,1601,9.895,45.474,99.778,19.883,225.384,364.837,0.404,0.836,0.732,1.459,0.754,0.822,1.599
54,44,37,37,42,43,39,34,26,32,31,25,27,24,20,21,43,40,29,23,01ACFB,5,5,6,35,84,27,279,461,3420,1089,7.093,32.597,71.524,13.525,153.306,248.162,0.846,1.074,1.174,1.996,1.82,1.858,8.123
94,40,51,44,,90,63,60,53,59,40,42,47,35,25,30,57,71,49,34,01ACFN,5,5,3,12,33,9,111,175,2107,621,4.37,20.083,44.064,7.712,87.422,141.514,0.686,0.598,0.749,1.167,1.27,1.237,5.413
76,53,60,47,52,47,36,36,23,37,31,23,26,24,20,21,59,43,29,23,01AEFW,5,5,4,23,49,18,162,275,4368,1368,9.06,41.633,91.349,16.99,192.583,311.741,0.442,0.552,0.536,1.059,0.841,0.882,6.857
54,46,55,49,44,42,37,35,26,32,25,21,23,19,18,,51,40,26,20,01AFFE,5,5,16,37,114,24,375,553,4104,1581,8.512,39.117,85.828,19.635,222.568,360.28,1.88,0.946,1.328,1.222,1.685,1.535,7.772
83,71,76,64,65,69,44,42,33,42,30,37,33,27,26,,74,55,36,29,01AFFR,5,5,9,29,70,29,239,391,3250,904,6.741,30.977,67.968,11.227,127.262,206.004,1.335,0.936,1.03,2.583,1.878,1.898,3.646
95,58,41,91,78,83,74,54,50,56,55,51,19,16,13,11,71,72,53,15,01AGFQ,3,5,8,19,60,14,179,314,2377,911,4.93,22.656,49.711,11.314,128.248,207.599,1.623,0.839,1.207,1.237,1.396,1.513,-0.609
81,80,28,60,49,43,37,35,29,33,31,24,23,21,18,19,62,41,29,20,01AHFJ,5,5,19,68,149,29,203,341,5010,1305,10.391,47.752,104.776,16.207,183.714,297.385,1.828,1.424,1.422,1.789,1.105,1.147,8.809
71,76,77,71,75,73,65,59,52,67,46,31,29,29,25,29,74,68,49,28,01AJFD,4,5,2,8,26,15,176,275,3174,1375,6.583,30.253,66.379,17.076,193.568,313.336,0.304,0.264,0.392,0.878,0.909,0.878,0.773
97,69,65,64,60,66,53,50,39,49,25,20,19,19,17,16,74,57,33,18,01AJFL,5,5,11,81,172,32,322,500,3929,959,8.149,37.449,82.169,11.91,135.005,218.538,1.35,2.163,2.093,2.687,2.385,2.288,7.561
61,55,39,37,43,41,44,35,23,35,30,34,31,25,22,26,48,41,31,26,01AJFS,5,5,11,43,116,24,271,443,3760,1046,7.799,35.838,78.634,12.991,147.253,238.363,1.411,1.2,1.475,1.847,1.84,1.859,9.233
75,84,66,63,84,82,45,59,51,54,44,33,36,40,28,36,72,68,46,35,01ALFF,5,5,7,44,85,25,141,254,3483,1615,7.224,33.198,72.841,20.057,227.355,368.028,0.969,1.325,1.167,1.246,0.62,0.69,9.028
88,90,76,64,67,66,59,53,41,40,41,31,61,54,33,31,80,61,38,45,01ALFG,5,5,11,70,142,31,261,469,3925,1330,8.141,37.411,82.085,16.518,187.233,303.082,1.351,1.871,1.73,1.877,1.394,1.547,8.81
43,52,40,43,49,44,32,29,21,22,21,20,37,36,20,19,45,39,21,28,01ALFY,4,5,21,52,137,39,310,518,3505,1168,7.27,33.407,73.301,14.506,164.427,266.165,2.889,1.557,1.869,2.689,1.885,1.946,1.394
72,61,72,62,55,55,54,53,38,44,38,31,36,29,23,29,67,54,38,29,01APFY,5,5,24,88,216,52,474,834,4230,1377,8.773,40.318,88.463,17.101,193.85,313.792,2.736,2.183,2.442,3.041,2.445,2.658,7.55
51,51,47,45,38,41,42,30,27,38,28,44,46,67,25,25,49,38,34,41,02AQFR,5,5,7,24,68,17,300,465,2015,1094,4.179,19.206,42.14,13.587,154.01,249.302,1.675,1.25,1.614,1.251,1.948,1.865,4.56
42,41,45,22,40,42,40,36,28,36,41,32,,43,23,25,38,40,34,30,02AQFT,5,5,6,24,66,18,281,422,3371,1972,6.992,32.13,70.499,24.491,277.612,449.381,0.858,0.747,0.936,0.735,1.012,0.939,4.501
40,42,41,41,40,41,37,36,31,35,33,25,30,26,24,,41,39,31,27,02ARFH,2,5,18,76,173,41,329,588,6632,2426,13.755,63.212,138.697,30.129,341.525,552.839,1.309,1.202,1.247,1.361,0.963,1.064,-1.597
43,50,34,36,26,31,30,26,28,36,37,23,27,40,23,21,41,28,31,28,02ARFJ,3,5,6,40,108,29,298,519,5876,2200,12.187,56.006,122.887,27.322,309.709,501.338,0.492,0.714,0.879,1.061,0.962,1.035,-1.121
50,43,52,42,41,42,35,37,28,37,36,24,26,25,26,17,47,39,31,24,02ARFK,3,5,13,34,77,31,264,454,6216,2381,12.892,59.247,129.997,29.57,335.19,542.584,1.008,0.574,0.592,1.048,0.788,0.837,-1.15
56,52,53,44,37,33,34,34,25,26,24,20,19,20,19,,51,35,24,19,02ASFK,4,5,5,26,61,19,151,308,4735,1696,9.821,45.131,99.025,21.063,238.758,386.486,0.509,0.576,0.616,0.902,0.632,0.797,0.015
62,52,47,41,42,34,36,38,44,45,39,34,34,30,25,,51,38,41,30,02ASFN,4,5,7,40,89,22,144,239,3993,1499,8.282,38.059,83.507,18.616,211.025,341.593,0.845,1.051,1.066,1.182,0.682,0.7,1.971
53,52,42,33,30,34,28,28,24,29,25,20,24,25,23,27,45,30,25,25,02AUFH,2,5,2,24,58,16,112,193,3368,1295,6.985,32.102,70.436,16.083,182.306,295.106,0.286,0.748,0.823,0.995,0.614,0.654,-1.631
,70,35,35,32,29,27,20,38,50,27,15,16,27,24,24,47,27,33,23,02AXFM,5,5,6,67,125,22,195,321,4375,663,9.074,41.7,91.496,8.234,93.335,151.085,0.661,1.607,1.366,2.672,2.089,2.125,11.354
49,48,57,56,40,37,34,40,27,32,28,13,13,19,23,25,53,38,25,20,02AXFX,4,5,3,21,49,18,142,251,5410,1735,11.221,51.565,113.141,21.547,244.248,395.373,0.267,0.407,0.433,0.835,0.581,0.635,0.458
31,31,25,40,43,39,30,19,,27,20,21,24,22,16,17,32,33,23,20,02AYFD,4,5,7,23,54,13,103,178,3320,1264,6.886,31.644,69.432,15.698,177.942,288.041,1.017,0.727,0.778,0.828,0.579,0.618,1.336
59,40,38,50,47,42,31,25,18,22,20,19,14,16,13,14,47,36,20,14,02AYFZ,4,5,0,0,0,0,0,0,2991,876,6.204,28.508,62.552,10.879,123.321,199.624,0,0,0,0,0,0,0.552
31,29,31,29,32,27,27,27,19,24,19,17,18,15,11,12,30,28,20,14,02AZFK,5,5,10,19,51,16,154,256,2469,1207,5.121,23.533,51.635,14.99,169.918,275.052,1.953,0.807,0.988,1.067,0.906,0.931,5.974
88,86,87,75,72,67,54,,24,33,27,22,26,23,19,19,84,64,27,22,02AZFZ,5,5,6,37,63,21,230,355,2647,895,5.49,25.229,55.358,11.115,125.995,203.953,1.093,1.467,1.138,1.889,1.825,1.741,3.518
41,39,38,44,38,43,35,32,26,28,22,17,17,13,10,11,41,37,23,13,02AZGC,5,5,24,62,142,49,367,590,3072,1123,6.372,29.28,64.246,13.947,158.092,255.91,3.767,2.117,2.21,3.513,2.321,2.305,4.985
30,30,27,26,25,27,24,21,17,21,18,14,17,14,12,12,28,24,18,14,02AZGD,4,5,1,9,18,0,46,74,1494,392,3.099,14.24,31.245,4.868,55.185,89.329,0.323,0.632,0.576,0,0.834,0.828,0.094
41,34,25,33,34,37,31,28,22,29,27,23,24,19,17,19,33,33,25,20,02AZGL,4,5,5,22,42,17,161,283,2810,1218,5.828,26.783,58.767,15.127,171.466,277.559,0.858,0.821,0.715,1.124,0.939,1.02,0.893
36,31,36,23,24,29,26,24,19,21,18,19,10,13,11,12,32,26,19,12,02BAFE,3,5,3,20,42,8,117,184,4236,1748,8.786,40.375,88.589,21.709,246.078,398.336,0.341,0.495,0.474,0.369,0.475,0.462,-0.254
36,29,39,39,36,33,31,31,17,23,25,20,18,17,14,13,36,33,21,16,02BBGA,4,5,23,76,165,38,304,518,5261,1209,10.912,50.144,110.025,15.015,170.199,275.508,2.108,1.516,1.5,2.531,1.786,1.88,0.588
31,33,31,31,27,29,24,25,18,21,21,16,21,18,11,,32,26,19,17,02BCFE,3,5,7,16,43,14,135,226,4478,1121,9.288,42.681,93.65,13.922,157.811,255.454,0.754,0.375,0.459,1.006,0.855,0.885,-0.648
35,37,45,41,39,62,31,30,23,27,26,20,21,20,15,,40,41,24,19,02BCGF,5,5,4,32,68,15,135,230,2852,926,5.915,27.183,59.645,11.5,130.359,211.018,0.676,1.177,1.14,1.304,1.036,1.09,2.579
