 ,SAN FRANCISCO,NAPA,SAN DIEGO ,Fresno,Sant Cruz,Death Valley,OJAI,Barstow,LA,CedarPark,Redding,Eureka,Oxnard,Bakersfield,PasoRobles,SanJose,Sacramento,MendocinoForest
20120101,144,167,194,183,228,206,272,206,272,194,172,172,278,211,228,200,178,139
20120102,128,167,206,183,150,211,272,172,239,217,150,156,222,278,228,139,167,89
20120103,117,156,217,133,172,206,267,183,244,106,183,139,239,189,222,144,178,144
20120104,139,194,261,167,189,211,272,189,294,33,194,144,300,211,244,183,189,144
20120105,161,178,283,178,183,217,267,194,283,89,194,106,267,194,233,189,200,89
20120106,133,144,200,178,150,211,239,200,228,161,172,106,183,194,167,156,161,111
20120107,178,206,150,133,200,211,206,194,156,200,161,106,189,167,189,200,183,89
20120108,183,183,183,172,200,250,206,172,200,222,200,144,239,167,200,200,178,167
20120109,156,183,233,189,200,233,222,156,239,222,161,122,256,211,211,189,194,178
20120110,150,172,206,189,161,222,200,167,194,144,167,117,189,217,206,167,178,128
20120111,183,189,194,172,200,211,211,167,189,161,194,111,178,172,150,189,189,139
20120112,172,194,211,172,211,200,222,172,244,167,194,117,239,200,217,183,178,144
20120113,167,200,250,194,233,222,244,150,261,167,206,122,250,233,244,200,194,139
20120114,156,183,194,200,194,200,189,156,217,67,172,94,189,178,178,172,200,89
20120115,111,133,172,189,150,189,172,122,172,94,128,78,183,228,183,139,150,33
20120116,100,111,144,111,128,189,144,178,139,117,94,83,144,117,117,111,111,-17
20120117,106,117,144,117,128,200,133,178,150,122,83,89,150,122,133,111,122,-11
20120118,117,133,161,139,150,178,172,106,156,194,50,111,167,156,167,133,139,0
20120119,111,117,161,122,0,172,189,144,167,133,44,117,172,150,133,111,94,28
20120120,150,139,161,156,128,172,172,211,161,106,61,139,167,206,161,150,117,56
20120121,139,133,167,156,128,178,178,222,161,128,144,106,172,183,139,144,156,11
20120122,117,111,156,128,122,244,156,156,167,156,61,122,161,167,139,133,111,-6
20120123,139,139,156,161,139,189,122,156,133,61,139,117,139,161,150,150,117,39
20120124,144,139,172,117,156,167,189,156,200,117,122,133,194,150,156,161,139,56
20120125,161,178,211,156,200,239,244,156,261,178,156,133,267,167,183,189,167,94
20120126,156,183,250,161,194,239,267,183,211,194,150,133,250,172,194,194,178,67
20120127,183,217,211,133,200,217,244,233,250,222,167,122,250,144,189,189,178,111
20120128,161,178,244,183,228,256,228,172,233,194,200,150,250,189,189,194,178,228
20120129,156,183,244,194,206,239,233,161,267,183,172,144,256,211,222,183,183,122
20120130,133,150,183,161,139,228,211,172,206,133,189,122,183,183,172,167,178,83
20120131,139,133,167,172,167,189,183,178,172,172,150,122,167,194,178,156,172,100
20120201,139,172,194,183,167,239,194,189,172,194,139,117,172,189,178,150,156,39
20120202,189,178,167,139,178,250,206,194,172,228,189,133,189,172,172,200,172,128
20120203,167,178,228,183,194,239,211,150,228,222,183,144,211,233,194,183,178,111
20120204,167,189,228,200,222,211,206,133,228,167,189,156,222,233,211,194,194,78
20120205,156,200,228,206,206,233,217,150,233,217,194,150,228,228,211,200,189,106
20120206,161,178,211,183,156,239,206,161,206,244,183,228,206,233,206,222,189,61
20120207,150,133,167,189,150,211,172,161,172,78,100,183,200,206,156,167,161,22
20120208,172,183,206,194,222,194,228,128,228,144,183,189,244,206,194,189,189,117
20120209,189,206,239,217,239,256,261,200,256,156,183,150,250,250,244,217,211,139
20120210,167,150,200,228,156,278,239,222,194,117,144,178,194,256,228,206,200,67
20120211,122,161,167,161,183,267,183,250,161,122,183,111,167,172,167,150,167,78
20120212,133,144,167,167,161,256,178,250,161,111,161,94,161,172,161,172,161,50
20120213,117,133,156,122,117,256,161,167,156,72,144,106,156,150,133,117,117,11
20120214,133,150,150,133,167,228,161,128,156,128,161,106,156,128,144,161,161,33
20120215,144,161,156,133,161,222,139,150,144,117,156,106,156,139,139,150,150,83
20120216,172,194,178,156,172,200,206,111,222,200,200,128,211,167,183,189,189,128
20120217,150,183,200,183,167,244,222,150,200,156,161,133,200,200,206,183,200,111
20120218,139,178,156,172,178,222,183,183,156,178,150,106,156,200,172,167,150,22
20120219,122,139,167,150,167,222,167,200,144,194,144,106,161,161,156,150,161,56
20120220,133,156,156,167,161,228,167,167,156,122,111,128,161,189,183,161,144,61
20120221,161,172,217,172,194,222,233,144,222,128,206,117,228,183,189,189,200,150
20120222,211,256,239,200,261,244,283,183,233,156,239,106,239,222,250,250,233,133
20120223,200,256,189,211,261,311,267,239,244,222,200,106,222,228,250,233,217,172
20120224,211,222,167,250,256,328,278,244,178,261,228,122,161,272,267,239,233,156
20120225,139,172,172,189,244,283,222,206,156,217,144,100,161,189,206,161,167,0
20120226,122,139,144,156,183,289,206,217,161,133,117,83,167,167,183,156,150,67
20120227,111,133,150,122,139,239,128,178,139,144,150,89,139,128,128,128,150,17
20120228,122,139,144,133,150,206,150,133,144,117,106,83,144,156,139,139,139,0
20120229,133,128,150,150,139,217,156,133,150,211,111,89,156,189,139,139,117,-28
20120301,122,156,156,150,139,228,178,156,167,228,139,100,172,167,161,144,117,6
20120302,172,189,189,144,189,239,222,156,211,256,178,111,228,183,183,183,178,122
20120303,206,206,233,217,239,217,267,156,233,261,250,128,250,233,250,217,217,200
20120304,228,228,272,244,283,250,311,194,306,183,228,111,294,272,278,239,239,167
20120305,139,194,222,256,261,289,294,233,261,133,217,106,233,272,283,206,244,117
20120306,122,161,156,144,194,294,178,233,150,156,122,83,150,189,150,139,150,22
20120307,161,206,172,150,183,294,178,233,167,156,200,106,172,156,161,178,189,139
20120308,183,206,206,217,228,228,256,128,217,217,217,122,233,250,233,217,206,194
20120309,200,217,272,250,272,278,283,189,278,239,211,111,289,272,278,233,239,161
20120310,150,172,194,239,261,294,261,222,222,178,189,106,200,267,239,172,206,100
20120311,156,161,150,183,178,289,183,256,167,172,139,111,161,211,161,161,167,6
20120312,161,150,167,200,156,311,189,239,156,200,150,133,161,228,183,178,178,17
20120313,133,128,167,206,150,311,178,233,156,233,117,117,156,228,178,144,139,0
20120314,144,144,167,228,128,311,206,222,167,239,128,133,167,250,200,167,150,33
20120315,161,161,161,244,144,283,211,239,150,278,156,144,167,244,228,200,167,44
