site,data_status,action_code,datetime,parameter,duration,frequency,value,unit,qc,poc,lat,lon,GISDatum,elev,method_code,mpc,mpc_value,uncertainty,qualifiers
8.40E+11,0,,20130501T0000-800,44201,60,0,0.044,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130501T0100-800,44201,60,0,0.044,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130501T0200-800,44201,60,0,0.042,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130501T0300-800,44201,60,0,0.039,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130501T0400-800,44201,60,0,,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,BF
8.40E+11,0,,20130501T0500-800,44201,60,0,0.032,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130501T0600-800,44201,60,0,0.029,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130501T0700-800,44201,60,0,0.028,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130501T0800-800,44201,60,0,0.026,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130501T0900-800,44201,60,0,0.035,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130501T1000-800,44201,60,0,0.042,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130501T1100-800,44201,60,0,0.046,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130501T1200-800,44201,60,0,0.047,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130501T1300-800,44201,60,0,0.047,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130501T1400-800,44201,60,0,0.047,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130501T1500-800,44201,60,0,0.049,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130501T1600-800,44201,60,0,0.049,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130501T1700-800,44201,60,0,0.047,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130501T1800-800,44201,60,0,0.045,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130501T1900-800,44201,60,0,0.042,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130501T2000-800,44201,60,0,0.039,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130501T2100-800,44201,60,0,0.038,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130501T2200-800,44201,60,0,0.038,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130501T2300-800,44201,60,0,0.031,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130502T0000-800,44201,60,0,0.007,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130502T0100-800,44201,60,0,0.002,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130502T0200-800,44201,60,0,0.002,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130502T0300-800,44201,60,0,0.002,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
8.40E+11,0,,20130502T0400-800,44201,60,0,,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,BF
8.40E+11,0,,20130502T0500-800,44201,60,0,0.002,7,0,1,34.05111,-118.45636,WGS84,91,87,1,0.005,,
