Date,AQS_SITE_ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CSA_CODE,CSA_NAME,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01/01/2013,06-037-1103,1,0.031,ppm,26,24,100,44201,Ozone,348,"Los Angeles-Long Beach-Riverside, CA",31100,"Los Angeles-Long Beach-Santa Ana, CA",6,California,37,Los Angeles,34.06659,-118.22688
01/02/2013,06-037-1103,1,0.025,ppm,21,24,100,44201,Ozone,348,"Los Angeles-Long Beach-Riverside, CA",31100,"Los Angeles-Long Beach-Santa Ana, CA",6,California,37,Los Angeles,34.06659,-118.22688
01/03/2013,06-037-1103,1,0.024,ppm,20,24,100,44201,Ozone,348,"Los Angeles-Long Beach-Riverside, CA",31100,"Los Angeles-Long Beach-Santa Ana, CA",6,California,37,Los Angeles,34.06659,-118.22688
01/04/2013,06-037-1103,1,0.027,ppm,23,24,100,44201,Ozone,348,"Los Angeles-Long Beach-Riverside, CA",31100,"Los Angeles-Long Beach-Santa Ana, CA",6,California,37,Los Angeles,34.06659,-118.22688
01/05/2013,06-037-1103,1,0.023,ppm,19,24,100,44201,Ozone,348,"Los Angeles-Long Beach-Riverside, CA",31100,"Los Angeles-Long Beach-Santa Ana, CA",6,California,37,Los Angeles,34.06659,-118.22688
01/06/2013,06-037-1103,1,0.036,ppm,31,24,100,44201,Ozone,348,"Los Angeles-Long Beach-Riverside, CA",31100,"Los Angeles-Long Beach-Santa Ana, CA",6,California,37,Los Angeles,34.06659,-118.22688
01/07/2013,06-037-1103,1,0.026,ppm,22,24,100,44201,Ozone,348,"Los Angeles-Long Beach-Riverside, CA",31100,"Los Angeles-Long Beach-Santa Ana, CA",6,California,37,Los Angeles,34.06659,-118.22688
01/08/2013,06-037-1103,1,0.014,ppm,12,24,100,44201,Ozone,348,"Los Angeles-Long Beach-Riverside, CA",31100,"Los Angeles-Long Beach-Santa Ana, CA",6,California,37,Los Angeles,34.06659,-118.22688
01/09/2013,06-037-1103,1,0.017,ppm,14,24,100,44201,Ozone,348,"Los Angeles-Long Beach-Riverside, CA",31100,"Los Angeles-Long Beach-Santa Ana, CA",6,California,37,Los Angeles,34.06659,-118.22688
01/10/2013,06-037-1103,1,0.04,ppm,34,24,100,44201,Ozone,348,"Los Angeles-Long Beach-Riverside, CA",31100,"Los Angeles-Long Beach-Santa Ana, CA",6,California,37,Los Angeles,34.06659,-118.22688
