LA CODE,LA NAME,Local Concentration,Rank of Local Concentration,Extent,Rank of Extent,Income Scale,Rank of Income Scale,Employment Scale,Rank of Employment Scale,Average Score,Rank of Average Score,Average Rank,Rank of Average Rank
00AA,City of London,19505.00,290,0.00,294,582,325,310,325,11.15,262,9422.18,259
00AB,Barking and Dagenham,30299.56,89,0.48,20,45374,46,12872,74,34.20,22,25406.14,8
00AC,Barnet,26200.36,184,0.06,180,49890,38,15877,56,16.64,176,14270.68,165
00AD,Bexley,27339.02,166,0.09,166,26869,90,9803,102,16.71,174,13700.44,180
00AE,Brent,31048.08,60,0.30,53,60513,20,18478,42,30.50,35,23307.82,24
00AF,Bromley,27670.80,159,0.08,168,33426,72,12426,78,14.95,203,11807.31,217
00AG,Camden,28759.67,143,0.24,81,43187,49,15723,58,25.43,74,20357.98,55
00AH,Croydon,28946.89,134,0.18,114,56949,26,19439,37,22.76,107,18384.94,99
00AJ,Ealing,29803.73,113,0.21,98,58630,23,18698,40,25.01,80,20033.13,61
00AK,Enfield,30268.13,93,0.27,68,68156,13,18349,44,26.06,64,20019.57,63
00AL,Greenwich,30804.45,71,0.40,29,49785,39,16962,51,31.94,28,23686.86,19
00AM,Hackney,31457.50,49,0.77,1,66628,15,20350,30,42.89,2,28228.06,1
00AN,Hammersmith and Fulham,29206.89,127,0.27,71,32388,76,11961,80,27.48,55,21850.74,31
00AP,Haringey,31264.78,53,0.55,8,60693,19,18655,41,36.10,13,25214.82,11
00AQ,Harrow,24585.45,210,0.03,212,33618,71,9799,103,15.49,194,13517.68,184
00AR,Havering,27187.43,167,0.08,172,28590,87,10516,94,16.63,177,13840.12,177
00AS,Hillingdon,26960.52,171,0.09,163,38238,61,11888,82,19.81,138,16698.24,130
00AT,Hounslow,27394.30,165,0.10,156,39446,55,12454,76,21.84,118,18668.93,92
00AU,Islington,30874.94,68,0.53,11,48634,41,17966,46,35.87,14,25888.56,6
00AW,Kensington and Chelsea,29841.17,111,0.22,94,22090,108,8835,110,23.31,103,18437.60,98
00AX,Kingston upon Thames,21535.02,264,0.01,247,14430,160,5000,193,11.66,255,9814.85,252
00AY,Lambeth,29427.12,120,0.36,41,59940,21,22186,23,31.24,29,24136.07,14
00AZ,Lewisham,29202.05,128,0.36,40,55362,31,19841,35,30.97,31,24005.10,16
00BA,Merton,24541.58,211,0.03,215,24070,100,7975,120,14.56,208,12220.43,208
00BB,Newham,31280.58,51,0.77,2,79384,8,20114,32,41.84,3,28080.78,2
00BC,Redbridge,26928.00,172,0.09,164,48088,43,13433,71,20.37,134,17512.40,116
00BD,Richmond upon Thames,20278.33,281,0.01,266,14111,161,5502,175,10.12,285,8135.94,286
00BE,Southwark,28840.11,138,0.35,46,57800,25,19964,33,29.73,41,23112.90,25
00BF,Sutton,26213.23,182,0.06,179,20557,114,7689,130,15.43,196,12915.06,193
00BG,Tower Hamlets,31613.26,38,0.67,3,74479,10,19267,38,39.59,7,26409.47,3
00BH,Waltham Forest,30980.10,62,0.51,13,53038,32,16580,54,35.44,15,25647.63,7
00BJ,Wandsworth,27755.62,158,0.12,147,41033,52,14084,68,21.46,121,18118.92,102
00BK,City of Westminster,30312.91,88,0.22,95,38502,60,14403,65,24.59,87,19545.85,75
00BL,Bolton District,32019.57,18,0.39,31,50921,35,21635,25,30.46,36,20718.62,48
00BM,Bury District,30274.65,91,0.19,107,26735,92,12433,77,22.23,114,17314.77,119
00BN,Manchester District,32240.98,8,0.62,5,122060,2,48190,3,41.13,4,26187.31,4
00BP,Oldham District,31882.71,25,0.40,30,46644,44,17855,48,30.41,37,20926.84,46
00BQ,Rochdale District,32185.03,10,0.44,25,44785,47,19116,39,33.85,23,22430.33,29
00BR,Salford District,32213.06,9,0.46,23,48255,42,21033,28,34.74,18,23035.21,26
00BS,Stockport District,30598.45,81,0.13,134,33877,69,15791,57,18.88,151,14235.34,167
00BT,Tameside District,31519.08,45,0.36,44,38882,58,18376,43,29.62,42,21545.84,34
00BU,Trafford District,29420.86,121,0.13,143,26255,93,11960,81,17.05,167,13070.40,190
00BW,Wigan District,31474.97,47,0.29,60,48753,40,26688,12,26.01,65,18946.98,85
00BX,Knowsley District,32395.05,3,0.56,7,41322,51,17397,50,41.01,5,24977.46,12
00BY,Liverpool District,32395.62,2,0.63,4,119443,3,54352,2,43.45,1,25935.27,5
00BZ,St. Helens District,31592.31,41,0.34,47,32970,73,16249,55,28.37,51,20014.57,64
00CA,Sefton District,31565.89,43,0.25,80,46041,45,21271,26,24.25,92,17558.88,114
00CB,Wirral District,32102.31,14,0.30,54,58844,22,27270,10,26.84,60,18101.63,103
00CC,Barnsley District,31247.61,55,0.33,50,40533,54,21127,27,28.55,47,21104.34,44
00CE,Doncaster District,31597.95,39,0.36,42,50940,34,23105,21,29.76,39,21268.88,39
00CF,Rotherham District,31466.77,48,0.33,51,44541,48,19505,36,28.12,53,20539.43,52
00CG,Sheffield District,31752.09,33,0.33,48,91618,6,35531,7,27.39,56,18964.43,84
00CH,Gateshead District,31576.22,42,0.36,45,37025,64,16584,53,29.48,43,21234.25,42
00CJ,Newcastle upon Tyne District,32080.62,15,0.37,35,56157,29,23185,20,29.74,40,19954.61,66
00CK,North Tyneside District,29929.68,105,0.22,89,31661,78,14476,64,22.24,113,16885.56,124
