code,E2001,E2002,E2003,E2004,E2005,E2006,E2007,E2008,E2009,E2010
00AA,2.648915,2.68106,2.727112,2.749562,2.808655,2.915977,3.021586,3.114696,3.237998,3.237998
00AB,63.94673,63.416995,62.567863,61.444884,60.677119,59.678672,58.487583,57.701932,57.250524,57.250524
00AC,121.795213,121.915339,122.45105,123.201898,124.449563,125.982868,127.088805,128.825149,131.374946,131.374946
00AD,90.201336,91.246452,91.94905,92.754781,93.67454,94.598593,95.447131,96.832061,97.651369,97.651369
00AE,76.876437,77.185291,78.01798,78.967493,80.422828,81.785325,83.651266,85.265264,87.089119,87.089119
00AF,131.182934,132.305207,133.257442,134.52092,136.441229,137.382528,138.634021,139.508507,140.634084,140.634084
00AG,57.437626,57.481076,57.451159,57.278864,57.207172,57.317378,57.592344,57.831555,58.34311,58.34311
00AH,114.237091,115.203241,115.305125,115.291547,115.953955,116.63173,117.928346,119.237276,121.137265,121.137265
00AJ,93.718632,93.65672,93.307209,92.824251,92.910607,93.535588,94.649823,95.737862,97.175591,97.175591
00AK,99.923386,100.163149,100.254322,100.323002,101.121432,101.894851,102.616156,103.769839,104.713324,104.713324
00AL,74.891858,74.870816,74.191447,73.547796,72.806362,72.62344,71.75873,71.09383,70.945882,70.945882
00AM,50.610274,50.847468,50.714835,50.8558,50.960062,50.958332,50.726548,50.922664,51.592243,51.592243
00AN,46.60511,46.944295,46.817827,46.933215,47.290633,48.049196,48.296929,48.155146,48.749952,48.749952
00AP,55.284041,55.031888,54.497263,54.353742,54.942728,55.64057,56.150228,56.806893,57.923617,57.923617
00AQ,80.118592,80.221353,80.402865,80.622382,81.408577,82.337226,82.835192,83.947716,85.701068,85.701068
00AR,102.085186,103.31007,104.262522,105.076179,106.134739,107.29351,108.616962,109.865199,110.72513,110.72513
00AS,88.628484,89.073444,89.633778,89.489509,90.164433,90.677266,91.27698,92.349334,93.320359,93.320359
00AT,64.778301,64.456457,63.905038,63.597569,64.110608,64.10763,64.815947,65.577721,66.522077,66.522077
00AU,47.157839,46.875848,46.622135,46.484411,46.572681,46.586428,46.633632,46.605325,46.75593,46.75593
00AW,53.023902,54.211782,55.330593,56.67579,58.372108,59.519482,60.97526,62.631388,64.121732,64.121732
00AX,54.507333,53.982889,53.832208,53.459887,53.889577,53.912922,54.134686,54.737187,55.339992,55.339992
00AY,66.255743,66.052177,65.2595,65.207661,65.293042,65.84215,66.014539,66.015382,65.683872,65.683872
00AZ,74.357969,73.736592,72.792345,71.607457,70.983578,70.623486,70.270262,69.758493,69.597351,69.597351
00BA,65.064283,65.281853,65.320198,65.242085,65.400918,65.911305,65.929669,66.57661,67.404465,67.404465
00BB,58.210156,57.695785,57.103828,56.577319,55.937526,55.371481,55.264987,55.103619,54.916415,54.916415
00BC,89.357349,89.117252,89.17053,89.057295,89.015647,89.101386,89.133793,89.88814,91.10925,91.10925
00BD,65.906932,65.603565,65.166232,64.783371,65.127069,65.048488,65.351325,65.80751,66.734891,66.734891
00BE,70.457808,70.671625,70.287175,70.135319,70.059857,70.666208,71.184428,71.688899,71.917129,71.917129
00BF,69.74855,70.002437,70.647499,70.610088,71.223151,71.254389,71.897777,72.260804,73.016846,73.016846
00BG,47.26116,47.364492,47.199517,47.167148,47.419894,47.594585,47.497547,47.598438,47.788473,47.788473
00BH,68.519063,67.951676,66.704936,66.027841,65.275287,64.99118,64.739905,64.699388,65.045332,65.045332
00BJ,78.123352,77.185943,76.476282,75.78678,76.119307,75.925123,75.677649,75.284408,75.856353,75.856353
