X,Y
-73.9750,45.4250
-73.9750,45.4350
-73.9650,45.4150
-73.9650,45.4250
-73.9650,45.4350
-73.9650,45.4450
-73.9550,45.4050
-73.9550,45.4150
-73.9550,45.4250
-73.9550,45.4350
-73.9550,45.4450
-73.9450,45.4050
-73.9450,45.4150
-73.9450,45.4250
-73.9450,45.4350
-73.9450,45.4450
-73.9450,45.4550
-73.9350,45.4050
-73.9350,45.4150
-73.9350,45.4250
-73.9350,45.4350
-73.9350,45.4450
-73.9350,45.4550
-73.9350,45.4650
-73.9250,45.4050
-73.9250,45.4150
-73.9250,45.4250
-73.9250,45.4350
-73.9250,45.4450
-73.9250,45.4550
-73.9250,45.4650
-73.9150,45.4050
-73.9150,45.4150
-73.9150,45.4250
-73.9150,45.4350
-73.9150,45.4450
-73.9150,45.4550
-73.9150,45.4650
-73.9050,45.4150
-73.9050,45.4250
-73.9050,45.4350
-73.9050,45.4450
-73.9050,45.4550
-73.9050,45.4650
-73.8950,45.4150
-73.8950,45.4250
-73.8950,45.4350
-73.8950,45.4450
-73.8950,45.4550
-73.8950,45.4650
-73.8850,45.4150
-73.8850,45.4250
-73.8850,45.4350
-73.8850,45.4450
-73.8850,45.4550
-73.8850,45.4650
-73.8750,45.4150
-73.8750,45.4250
-73.8750,45.4350
-73.8750,45.4450
-73.8750,45.4550
-73.8750,45.4650
-73.8750,45.4750
-73.8650,45.4250
-73.8650,45.4350
-73.8650,45.4450
-73.8650,45.4550
-73.8650,45.4650
-73.8650,45.4750
-73.8650,45.4850
-73.8550,45.4250
-73.8550,45.4350
-73.8550,45.4450
-73.8550,45.4550
-73.8550,45.4650
-73.8550,45.4750
-73.8550,45.4850
-73.8550,45.4950
-73.8550,45.5050
-73.8450,45.4350
-73.8450,45.4450
-73.8450,45.4550
-73.8450,45.4650
-73.8450,45.4750
-73.8450,45.4850
-73.8450,45.4950
-73.8450,45.5050
-73.8450,45.5150
-73.8350,45.4250
-73.8350,45.4350
-73.8350,45.4450
-73.8350,45.4550
-73.8350,45.4650
-73.8350,45.4750
-73.8350,45.4850
-73.8350,45.4950
-73.8350,45.5050
-73.8350,45.5150
